,Data
1331,-0.064
1332,-0.05
1333,-0.031
1334,-0.011
1335,0.012
1336,0.034
1337,0.057
1338,0.077
1339,0.095
1340,0.111
1341,0.123
1342,0.132
1343,0.137
1344,0.137
1345,0.132
1346,0.123
1347,0.11
1348,0.092
1349,0.071
1350,0.046
1351,0.016
1352,-0.019
1353,-0.059
1354,-0.102
1355,-0.142
1356,-0.176
1357,-0.199
1358,-0.205
1359,-0.194
1360,-0.166
1361,-0.122
1362,-0.069
1363,-0.012
1364,0.04
1365,0.082
1366,0.106
1367,0.11
1368,0.094
1369,0.06
1370,0.012
1371,-0.042
1372,-0.095
1373,-0.14
1374,-0.171
1375,-0.181
1376,-0.17
1377,-0.14
1378,-0.092
1379,-0.034
1380,0.027
1381,0.085
1382,0.134
1383,0.169
1384,0.189
1385,0.192
1386,0.179
1387,0.155
1388,0.122
1389,0.087
1390,0.054
1391,0.029
1392,0.015
1393,0.013
1394,0.022
1395,0.04
1396,0.062
1397,0.085
1398,0.103
1399,0.111
1400,0.107
1401,0.087
1402,0.053
1403,0.006
1404,-0.05
1405,-0.109
1406,-0.165
1407,-0.212
1408,-0.246
1409,-0.261
1410,-0.256
1411,-0.232
1412,-0.192
1413,-0.142
1414,-0.088
1415,-0.038
1416,0.004
1417,0.034
1418,0.051
1419,0.056
1420,0.053
1421,0.045
1422,0.036
1423,0.031
1424,0.033
1425,0.045
1426,0.067
1427,0.095
1428,0.127
1429,0.155
1430,0.176
1431,0.184
1432,0.177
1433,0.154
1434,0.117
1435,0.071
1436,0.019
1437,-0.032
1438,-0.076
1439,-0.109
1440,-0.126
1441,-0.126
1442,-0.11
1443,-0.082
1444,-0.048
1445,-0.015
1446,0.011
1447,0.024
1448,0.021
1449,0.002
1450,-0.032
1451,-0.075
1452,-0.122
1453,-0.165
1454,-0.197
1455,-0.211
1456,-0.204
1457,-0.175
1458,-0.124
1459,-0.057
1460,0.022
1461,0.103
1462,0.18
1463,0.246
1464,0.293
1465,0.317
1466,0.317
1467,0.293
1468,0.249
1469,0.19
1470,0.122
1471,0.051
1472,-0.019
1473,-0.082
1474,-0.137
1475,-0.182
1476,-0.215
1477,-0.235
1478,-0.241
1479,-0.233
1480,-0.211
1481,-0.175
1482,-0.125
1483,-0.065
1484,0.003
1485,0.074
1486,0.14
1487,0.194
1488,0.232
1489,0.247
1490,0.236
1491,0.2
1492,0.142
1493,0.068
1494,-0.014
1495,-0.094
1496,-0.163
1497,-0.213
1498,-0.241
1499,-0.244
1500,-0.223
1501,-0.182
1502,-0.127
1503,-0.062
1504,0.003
1505,0.062
1506,0.108
1507,0.138
1508,0.15
1509,0.145
1510,0.128
1511,0.1
1512,0.067
1513,0.033
1514,-0.0
1515,-0.029
1516,-0.053
1517,-0.069
1518,-0.076
1519,-0.076
1520,-0.068
1521,-0.052
1522,-0.03
1523,-0.003
1524,0.027
1525,0.06
1526,0.093
1527,0.123
1528,0.147
1529,0.163
1530,0.166
1531,0.154
1532,0.125
1533,0.081
1534,0.024
1535,-0.04
1536,-0.105
1537,-0.162
